   Compiling magpie v0.1.0 (/home/ajal/Documents/code/magpie)
    Finished dev [unoptimized + debuginfo] target(s) in 0.58s
     Running `/home/ajal/Documents/code/magpie/target/debug/magpie cat.rom`
pc: f000; cur: fed0; r1: 0000
pc: f002; cur: 01d1; r1: 0000
pc: f004; cur: 0220; r1: 0000
pc: f006; cur: e021; r1: 0000
pc: f008; cur: 0030; r1: 0000
pc: f00a; cur: e031; r1: 0000
pc: f00c; cur: 0810; r1: 0000
pc: f00e; cur: 1078; r1: 0008
pc: f010; cur: 0000; r1: 0008
pc: f012; cur: 0000; r1: 0008
pc: f014; cur: 0000; r1: 0008
pc: f016; cur: 0000; r1: 0008
pc: f018; cur: 0000; r1: 0008
pc: f01a; cur: 0000; r1: 0008
pc: f01c; cur: 0000; r1: 0008
pc: f01e; cur: 0000; r1: 0008
pc: f020; cur: 0000; r1: 0008
pc: f022; cur: 0000; r1: 0008
pc: f024; cur: 0000; r1: 0008
pc: f100; cur: d048; r1: 0008
psr f024
push f024 to 01fe
pc: f102; cur: dc88; r1: 0008
push 0000 to 01fc
pc: f104; cur: 0c68; r1: 0008
pc: f106; cur: d188; r1: 0008
push 0008 to 01fa
pc: f108; cur: 2014; r1: 0008
pc: f10a; cur: 803f; r1: 0061
pc: f10c; cur: 3017; r1: 0061
pc: f10e; cur: 7fdc; r1: 0061
pc: f108; cur: 2014; r1: 0061
pc: f10a; cur: 803f; r1: 0073
pc: f10c; cur: 3017; r1: 0073
pc: f10e; cur: 7fdc; r1: 0073
pc: f108; cur: 2014; r1: 0073
pc: f10a; cur: 803f; r1: 0064
pc: f10c; cur: 3017; r1: 0064
pc: f10e; cur: 7fdc; r1: 0064
pc: f108; cur: 2014; r1: 0064
pc: f10a; cur: 803f; r1: 0066
pc: f10c; cur: 3017; r1: 0066
pc: f10e; cur: 7fdc; r1: 0066
pc: f108; cur: 2014; r1: 0066
pc: f10a; cur: 803f; r1: ffff
pc: f110; cur: d198; r1: ffff
pc: f112; cur: c078; r1: 0008
pc: f114; cur: dc98; r1: 0008
pc: f116; cur: d058; r1: 0008
pc: f026; cur: 0000; r1: 0008
pc: f028; cur: 0000; r1: 0008
pc: f02a; cur: 0000; r1: 0008
pc: f02c; cur: 0000; r1: 0008
pc: f02e; cur: 0000; r1: 0008
pc: f030; cur: 0000; r1: 0008
pc: f032; cur: 0000; r1: 0008
pc: f034; cur: 0000; r1: 0008
pc: f036; cur: 0000; r1: 0008
pc: f038; cur: 0000; r1: 0008
pc: f03a; cur: 0000; r1: 0008
pc: f03c; cur: 0000; r1: 0008
pc: f03e; cur: 0000; r1: 0008
pc: f040; cur: 0000; r1: 0008
pc: f042; cur: 0000; r1: 0008
pc: f044; cur: 0000; r1: 0008
pc: f046; cur: 0000; r1: 0008
pc: f048; cur: 0000; r1: 0008
pc: f04a; cur: 0000; r1: 0008
pc: f04c; cur: 0000; r1: 0008
pc: f04e; cur: 0000; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f100; cur: d048; r1: 0008
psr f04e
push f04e to 01fe
pc: f102; cur: dc88; r1: 0008
push 0000 to 01fc
pc: f104; cur: 0c68; r1: 0008
pc: f106; cur: d188; r1: 0008
push 0008 to 01fa
pc: f108; cur: 2014; r1: 0008
pc: f10a; cur: 803f; r1: 0061
pc: f10c; cur: 3017; r1: 0061
pc: f10e; cur: 7fdc; r1: 0061
pc: f108; cur: 2014; r1: 0061
pc: f10a; cur: 803f; r1: ffff
pc: f110; cur: d198; r1: ffff
pc: f112; cur: c078; r1: 0008
pc: f114; cur: dc98; r1: 0008
pc: f116; cur: d058; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f100; cur: d048; r1: 0008
psr f050
push f050 to 01fe
pc: f102; cur: dc88; r1: 0008
push 0000 to 01fc
pc: f104; cur: 0c68; r1: 0008
pc: f106; cur: d188; r1: 0008
push 0008 to 01fa
pc: f108; cur: 2014; r1: 0008
pc: f10a; cur: 803f; r1: 0061
pc: f10c; cur: 3017; r1: 0061
pc: f10e; cur: 7fdc; r1: 0061
pc: f108; cur: 2014; r1: 0061
pc: f10a; cur: 803f; r1: 0073
pc: f10c; cur: 3017; r1: 0073
pc: f10e; cur: 7fdc; r1: 0073
pc: f108; cur: 2014; r1: 0073
pc: f10a; cur: 803f; r1: 0064
pc: f10c; cur: 3017; r1: 0064
pc: f10e; cur: 7fdc; r1: 0064
pc: f108; cur: 2014; r1: 0064
pc: f10a; cur: 803f; r1: 0066
pc: f10c; cur: 3017; r1: 0066
pc: f10e; cur: 7fdc; r1: 0066
pc: f108; cur: 2014; r1: 0066
pc: f10a; cur: 803f; r1: ffff
pc: f110; cur: d198; r1: ffff
pc: f112; cur: c078; r1: 0008
pc: f114; cur: dc98; r1: 0008
pc: f116; cur: d058; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
pc: f052; cur: 7ffc; r1: 0008
pc: f050; cur: 0000; r1: 0008
